                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 30.238,                      0,                      0,                      0,                      0,                      0,                      0,                 32.257,                      0,                      0,                      0,                      0
                      2,                      0,                 30.135,                      0,                      0,                      0,                      0,                      0,                      0,                 32.286,                      0,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                      0,                 30.088,                      0,                      0,                      0,                      0,                      0,                      0,                 32.326,                      0,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                      0,                 29.777,                      0,                      0,                      0,                      0,                      0,                      0,                 32.364,                      0,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                      0,                 29.731,                      0,                      0,                      0,                      0,                      0,                      0,                 32.401,                      0,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                      0,                 29.482,                      0,                      0,                      0,                      0,                      0,                      0,                 32.436,                      0,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                      0,                 29.342,                      0,                      0,                      0,                      0,                      0,                      0,                  32.46,                      0,             0.00011287,             0.00011287,             0.00011287
                      8,                      0,                 29.196,                      0,                      0,                      0,                      0,                      0,                      0,                 32.487,                      0,              0.0001303,              0.0001303,              0.0001303
                      9,                      0,                 29.042,                      0,                      0,                      0,                      0,                      0,                      0,                 32.516,                      0,             0.00014733,             0.00014733,             0.00014733
                     10,                      0,                 28.868,                      0,                      0,                      0,                      0,                      0,                      0,                 32.561,                      0,             0.00016396,             0.00016396,             0.00016396
                     11,                      0,                 28.697,                      0,                      0,                      0,                      0,                      0,                      0,                 32.622,                      0,              0.0001802,              0.0001802,              0.0001802
                     12,                      0,                 28.501,                      0,                      0,                      0,                      0,                      0,                      0,                 32.695,                      0,             0.00019604,             0.00019604,             0.00019604
                     13,                      0,                 28.265,                      0,                      0,                      0,                      0,                      0,                      0,                 32.777,                      0,             0.00021149,             0.00021149,             0.00021149
                     14,                      0,                 28.116,                      0,                      0,                      0,                      0,                      0,                      0,                 32.858,                      0,             0.00022654,             0.00022654,             0.00022654
                     15,                      0,                 27.821,                      0,                      0,                      0,                      0,                      0,                      0,                 32.917,                      0,             0.00024119,             0.00024119,             0.00024119
                     16,                      0,                 27.595,                      0,                      0,                      0,                      0,                      0,                      0,                  32.96,                      0,             0.00025545,             0.00025545,             0.00025545
                     17,                      0,                 27.209,                      0,                      0,                      0,                      0,                      0,                      0,                 32.963,                      0,             0.00026931,             0.00026931,             0.00026931
                     18,                      0,                 26.936,                      0,                      0,                      0,                      0,                      0,                      0,                 32.963,                      0,             0.00028278,             0.00028278,             0.00028278
                     19,                      0,                 26.939,                      0,                      0,                      0,                      0,                      0,                      0,                 32.898,                      0,             0.00029585,             0.00029585,             0.00029585
                     20,                      0,                 26.576,                      0,                      0,                      0,                      0,                      0,                      0,                 32.898,                      0,             0.00030852,             0.00030852,             0.00030852
                     21,                      0,                 26.583,                      0,                      0,                      0,                      0,                      0,                      0,                  32.76,                      0,              0.0003208,              0.0003208,              0.0003208
                     22,                      0,                 26.064,                      0,                      0,                      0,                      0,                      0,                      0,                  32.76,                      0,             0.00033268,             0.00033268,             0.00033268
                     23,                      0,                 26.108,                      0,                      0,                      0,                      0,                      0,                      0,                 32.581,                      0,             0.00034417,             0.00034417,             0.00034417
                     24,                      0,                 25.573,                      0,                      0,                      0,                      0,                      0,                      0,                 32.581,                      0,             0.00035526,             0.00035526,             0.00035526
                     25,                      0,                 25.562,                      0,                      0,                      0,                      0,                      0,                      0,                 32.485,                      0,             0.00036595,             0.00036595,             0.00036595
                     26,                      0,                 25.019,                      0,                      0,                      0,                      0,                      0,                      0,                 32.485,                      0,             0.00037625,             0.00037625,             0.00037625
                     27,                      0,                 25.155,                      0,                      0,                      0,                      0,                      0,                      0,                 32.396,                      0,             0.00038615,             0.00038615,             0.00038615
                     28,                      0,                 24.559,                      0,                      0,                      0,                      0,                      0,                      0,                 32.396,                      0,             0.00039566,             0.00039566,             0.00039566
                     29,                      0,                 24.574,                      0,                      0,                      0,                      0,                      0,                      0,                 32.106,                      0,             0.00040477,             0.00040477,             0.00040477
                     30,                      0,                 23.982,                      0,                      0,                      0,                      0,                      0,                      0,                 32.106,                      0,             0.00041348,             0.00041348,             0.00041348
                     31,                      0,                 23.917,                      0,                      0,                      0,                      0,                      0,                      0,                 31.799,                      0,              0.0004218,              0.0004218,              0.0004218
                     32,                      0,                 23.511,                      0,                      0,                      0,                      0,                      0,                      0,                 31.799,                      0,             0.00042972,             0.00042972,             0.00042972
                     33,                      0,                 23.397,                      0,                      0,                      0,                      0,                      0,                      0,                 31.473,                      0,             0.00043725,             0.00043725,             0.00043725
                     34,                      0,                 22.807,                      0,                      0,                      0,                      0,                      0,                      0,                 31.473,                      0,             0.00044438,             0.00044438,             0.00044438
                     35,                      0,                 22.916,                      0,                      0,                      0,                      0,                      0,                      0,                 31.076,                      0,             0.00045111,             0.00045111,             0.00045111
                     36,                      0,                 22.185,                      0,                      0,                      0,                      0,                      0,                      0,                 31.076,                      0,             0.00045745,             0.00045745,             0.00045745
                     37,                      0,                 22.298,                      0,                      0,                      0,                      0,                      0,                      0,                 30.112,                      0,             0.00046339,             0.00046339,             0.00046339
                     38,                      0,                 21.843,                      0,                      0,                      0,                      0,                      0,                      0,                 30.112,                      0,             0.00046894,             0.00046894,             0.00046894
                     39,                      0,                 21.801,                      0,                      0,                      0,                      0,                      0,                      0,                 28.895,                      0,             0.00047409,             0.00047409,             0.00047409
                     40,                      0,                 21.334,                      0,                      0,                      0,                      0,                      0,                      0,                 28.895,                      0,             0.00047884,             0.00047884,             0.00047884
                     41,                      0,                 21.271,                      0,                      0,                      0,                      0,                      0,                      0,                 28.072,                      0,              0.0004832,              0.0004832,              0.0004832
                     42,                      0,                 21.008,                      0,                      0,                      0,                      0,                      0,                      0,                 28.072,                      0,             0.00048716,             0.00048716,             0.00048716
                     43,                      0,                 20.864,                      0,                      0,                      0,                      0,                      0,                      0,                 28.301,                      0,             0.00049073,             0.00049073,             0.00049073
                     44,                      0,                 20.465,                      0,                      0,                      0,                      0,                      0,                      0,                 28.301,                      0,              0.0004939,              0.0004939,              0.0004939
                     45,                      0,                 20.427,                      0,                      0,                      0,                      0,                      0,                      0,                  28.57,                      0,             0.00049667,             0.00049667,             0.00049667
                     46,                      0,                 20.191,                      0,                      0,                      0,                      0,                      0,                      0,                  28.57,                      0,             0.00049905,             0.00049905,             0.00049905
                     47,                      0,                  20.18,                      0,                      0,                      0,                      0,                      0,                      0,                 27.875,                      0,             0.00050103,             0.00050103,             0.00050103
